QVD.LR04.numero-convenio;QVD.LR02.persona-numero;count(distinct[QVD.LR02.CruceLR02])
5085440;636928;1
5085536;1036835;1
5085537;71526;1
5085537;117773;1
5085537;143574;1
5085537;1202003;1
5085592;70652;1
5085679;26241;1
5085679;52640;1
5085679;64018;1
5085679;65377;1
5085679;68668;1
5085679;69070;1
5085679;70652;1
5085679;71145;1
5085679;71526;1
5085679;72571;1
5085679;73649;1
5085679;77355;1
5085679;78297;1
5085679;78531;1
5085679;79254;1
5085679;80684;1
5085679;80803;1
5085679;80805;1
5085679;80806;1
5085679;85110;1
5085679;88986;1
5085679;95276;1
5085679;95277;1
5085679;95278;1
5085679;95279;1
5085679;108880;1
5085679;109777;1
5085679;110254;1
5085679;111450;1
5085679;122922;1
5085679;124737;1
5085679;135375;1
5085679;137618;1
5085679;143574;1
5085679;150958;1
5085679;157815;1
5085679;158192;1
5085679;175862;1
5085679;179818;1
5085679;180616;1
5085679;188031;1
5085679;188341;1
5085679;188342;1
5085679;355973;1
5085679;360456;1
5085679;375450;1
5085679;378006;1
5085679;391436;1
5085679;397833;1
5085679;403490;1
5085679;405102;1
5085679;408666;1
5085679;419661;1
5085679;423445;1
5085679;428109;1
5085679;428576;1
5085679;429609;1
5085679;433043;1
5085679;446686;1
5085679;457763;1
5085679;463192;1
5085679;466424;1
5085679;476041;1
5085679;484802;1
5085679;485238;1
5085679;499002;1
5085679;499025;1
5085679;499028;1
5085679;499952;1
5085679;502312;1
5085679;507018;1
5085679;508460;1
5085679;523210;1
5085679;527559;1
5085679;529144;1
5085679;532002;1
5085679;537865;1
5085679;538334;1
5085679;558290;1
5085679;568423;1
5085679;569080;1
5085679;570651;1
5085679;572539;1
5085679;580193;1
5085679;581358;1
5085679;581719;1
5085679;591110;1
5085679;606114;1
5085679;609863;1
5085679;613851;1
5085679;619532;1
5085679;628594;1
5085679;636919;1
5085679;636928;1
5085679;652645;1
5085679;660057;1
5085679;681206;1
5085679;695813;1
5085679;719064;1
5085679;721568;1
5085679;721569;1
5085679;733322;1
5085679;735875;1
5085679;740555;1
5085679;743229;1
5085679;747071;1
5085679;747881;1
5085679;747884;1
5085679;754685;1
5085679;754716;1
5085679;756588;1
5085679;763587;1
5085679;764137;1
5085679;789371;1
5085679;791522;1
5085679;793036;1
5085679;806131;1
5085679;806917;1
5085679;826580;1
5085679;830200;1
5085679;848691;1
5085679;851821;1
5085679;851856;1
5085679;854226;1
5085679;858251;1
5085679;868887;1
5085679;871195;1
5085679;872911;1
5085679;875870;1
5085679;878448;1
5085679;880077;1
5085679;880103;1
5085679;919695;1
5085679;924759;1
